year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1553,E919cd749764d,Q3db718e126d8,,대과,친시,,
1555,Ed831b4dea561,Q78ee75e4918b,전시,소과,식년시,賦,
1555,E201e2a64f62a,Q48007a4f826b,,대과,식년시,策,
1556,Ed509fe90278f,Qb81c387fc2ea,전시,대과,별시,,
1556,E7e49e1c5a3e3,Q9408018113ed,전시,대과,중시,策,
1556,Ee58cab846cd9,Q4c8493d51796,,대과,알성시,,
1558,E5d2db392d4d9,Q839d41d95d70,,대과,별시,,
1558,E8ea381001647,Qc0f647be6cf6,,소과,식년시,,
1558,Ea7d833ab8ecb,Qa04c2a8d1ea8,,대과,식년시,,
1559,Efd0b63a141de,Q1a1b499b8455,전시,대과,정시,頌,
1559,Efd0b63a141de,Qe57115d0ca36,전시,대과,정시,,
1559,Efd0b63a141de,Qd7032fd3f211,전시,대과,정시,,
1560,Ef37ba051aceb,Qc86fc5677c2c,,대과,별시,策,
1561,Ee489052a9381,Q74ce691e5c26,전시,대과,식년시,,
1561,Ed113e6f45a08,Q086edc866e1c,,소과,식년시,,
1562,E97af40eafcad,Q51f9cc6f512b,,대과,별시,策,
1563,Edb61cff4430a,Q6e54b7803081,,소과,정시,詩,
1563,Ee4b33272c48b,Qbcfd1b9b89b6,,대과,알성시,箋,
1564,E24b35ff1b21e,Qebd7f4a116ce,복시,소과,식년시,疑,
1564,Ed0ec5ffdd29c,Qe5cf58900d8e,,대과,식년시,,
1564,Efd7fb38b50d9,Q1fe6f6e6c165,,대과,별시,策,
1565,E64e9c460d8ae,Q180bd21b87a1,,대과,알성시,表,
1566,Ed82437f094a3,Q7b469e4efc1b,,대과,별시,,
1566,E04bae512991e,Qe6e17a52bcb6,,대과,중시,,
1567,E59be02217264,Q5ac8219650a6,,소과,식년시,,
1567,Ebf4947441b1b,Qa3231fa9ab7b,,대과,식년시,,
1568,E97a65b617734,Q5a1847f78bbe,,소과,증광시,,
1568,E9b4427433f3b,Qf353f4053563,,대과,증광시,,
1569,Eae3754f963a9,Qda472c0a2115,,소과,정시,詩,
1569,Eb57dcaca573d,Qe773f6dcb6e4,,대과,알성시,表,
1569,E6994d5aa0c5d,Q95d4b5ad81fc,,대과,별시,表,
1570,E74e56da1658a,Q97259e534b9a,,소과,식년시,,
1570,Ed74a20151d3b,Q22434add96bb,,대과,식년시,,
1572,E17962775f34c,Q828bd2840fce,,대과,춘당대시,表,
1572,E2903f3c4d532,Q00e909581a84,,대과,별시,,
1572,E4f5e6b8e5d09,Q39955e4717b3,초시,대과,별시2,,
1573,E048f4095837d,Q1c2b8d06bd7a,초시,소과,식년시,,
1573,E48594a1ad343,Qb680759f04d4,전시,대과,식년시,策,
1573,E93babb53fae8,Qcadc851d13a9,,대과,알성시,表,
1574,E7e0b5ad33b3d,Qbf3c007e858b,,대과,별시,表,
1576,E7e397a2d3586,Qec4add42bf32,,소과,식년시,,
1576,E14774c7636ad,Q7c90ec004e4d,,대과,식년시,箋,
1576,Eb263184a49bb,Q0340bda00079,복시,대과,별시,表,
1576,Ef552849d3790,Q004579ed187d,,대과,중시,表,
1577,E686400172204,Qc329f34c7c7b,,대과,알성시,表,
1579,Ea8804b9e95c3,Q1c3b41a1b486,초시,소과,식년시,詩,
1579,E93f4fa6ea751,Qa035f2fef584,전시,대과,식년시,策,
1580,E6bcef224026f,Qa26ade21388f,,대과,알성시,表,
1580,E96bf524abbbc,Qc73a4b40bbfe,전시,대과,별시,,
1582,E76c7cf048612,Q42e1c0586f48,,소과,식년시,,
1582,Ee6b7019d5246,Qa2ddfc3b8097,전시,대과,식년시,,
1583,E691706baa5b4,Q24901874f954,,소과,정시,詩,
1583,E2e7049cf2e63,Qb10dba64e62b,,대과,알성시,表,
1583,Eabb9637173df,Qc40e9f2f7b01,전시,대과,별시,策,
1583,E511190ba16d9,Q1740971a6c8b,,대과,정시,策,
1584,E528277a8c918,Q572ff3970fef,,소과,정시,詩,
1584,Ecadcb30d9c89,Q53d6ae25a993,,대과,친시,表,
1584,E397fb0f748c8,Q4f6935d74738,전시,대과,별시,策,
1585,E20e58b39847a,Q155452e40254,복시,소과,식년시,,
1585,E9a87ed9c2be4,Q56237bbc7590,,대과,식년시,,
