person_id,name_question
700,1715년_식년시대과_전시_문제
701,1717년_함경도별시대과_전시_문제
702,1717년_평안도별시대과_전시_문제
703,1717년_식년시소과_초시_문제
704,1717년_식년시대과_초시_문제
705,1717년_온양정시대과_전시_문제
706,1717년_식년시소과_복시_문제
707,1717년_정시대과_전시_문제
708,1717년_중시_전시_문제
709,1717년_식년시대과_복시_문제
710,1717년_식년시대과_전시_문제
711,1718년_정시대과_전시_문제
712,1718년_별시대과_초시_문제
713,1718년_별시대과_전시_문제
714,1719년_증광시대과_초시_문제
715,1719년_증광시소과_초시_문제
716,1719년_증광시대과_복시_문제
717,1719년_증광시소과_복시_문제
718,1719년_증광시대과_전시_문제
719,1719년_춘당대시대과_전시_문제
720,1720년_식년시소과_초시_문제
721,1721년_식년시대과_초시_문제
722,1721년_식년시소과_복시_문제
723,1721년_정시대과_전시_문제
724,1721년_식년시대과_복시_문제
725,1721년_식년시대과_전시_문제
726,1721년_증광시소과_초시_문제
727,1721년_증광시대과_초시_문제
728,1721년_증광시소과_복시_문제
729,1721년_증광시대과_복시_문제
730,1721년_증광시대과_전시_문제
731,1722년_증광시대과_초시_문제
732,1721년_알성시대과_전시_문제
733,1722년_증광시소과_초시_문제
734,1723년_식년시대과_초시_문제
735,1723년_증광시대과_복시_문제
736,1723년_식년시대과_복시_문제
737,1723년_증광시소과_복시_문제
738,1723년_증광시대과_전시_문제
739,1723년_별시대과_전시_문제
740,1723년_식년시소과_초시_문제
741,1723년_식년시소과_복시_문제
742,1723년_정시대과_전시_문제
743,1723년_식년시대과_전시_문제
744,1725년_정시대과_전시_문제
745,1725년_증광시소과_초시_문제
746,1725년_증광시대과_초시_문제
747,1725년_증광시소과_복시_문제
748,1725년_증광시대과_복시_문제
749,1725년_증광시대과_전시_문제
750,1726년_식년시대과_초시_문제
751,1726년_식년시대과_복시_문제
752,1726년_강화별시대과_전시_문제
753,1726년_식년시소과_초시_문제
754,1726년_식년시소과_복시_문제
755,1726년_식년시대과_전시_문제
756,1726년_알성시대과_전시_문제
757,1727년_증광시대과_초시_문제
758,1727년_증광시소과_초시_문제
759,1727년_증광시대과_복시_문제
760,1727년_증광시대과_전시_문제
761,1727년_증광시소과_복시_문제
762,1727년_정시대과_전시_문제
763,1727년_중시_전시_문제
764,1728년_별시대과_초시_문제
765,1728년_춘당대시대과_전시_문제
766,1728년_평안도별시대과_전시_문제
767,1728년_별시대과_전시_문제
768,1728년_정시대과_전시_문제
769,1729년_식년시대과_초시_문제
770,1729년_식년시대과_복시_문제
771,1729년_식년시소과_초시_문제
772,1729년_식년시소과_복시_문제
773,1729년_식년시대과_전시_문제
774,1730년_정시대과_전시_문제
775,1731년_정시대과_전시_문제
776,1732년_정시대과_전시_문제
777,1733년_식년시대과_초시_문제
778,1733년_식년시소과_초시_문제
779,1733년_알성시대과_전시_문제
780,1733년_식년시소과_복시_문제
781,1733년_식년시대과_전시_문제
782,1734년_정시대과_전시_문제
783,1734년_춘당대시대과_전시_문제
784,1735년_식년시대과_초시_문제
785,1735년_증광시대과_초시_문제
786,1735년_증광시대과_복시_문제
787,1735년_식년시대과_복시_문제
788,1735년_증광시소과_초시_문제
789,1735년_증광시대과_전시_문제
790,1735년_증광시소과_복시_문제
791,1735년_식년시소과_복시_문제
792,1735년_식년시대과_전시_대과
793,1735년_정시대과_전시_대과
794,1736년_정시대과_전시_대과
795,1736년_알성시대과_전시_대과
796,1737년_별시대과_초시_대과
797,1737년_별시대과_전시_대과
798,1737년_중시_전시_대과
799,1737년_식년시소과_초시_문제
800,1738년_식년시대과_초시_문제
801,1738년_식년시소과_복시_문제
802,1738년_식년시대과_전시_문제
803,1739년_알성시대과_전시_대과
804,1739년_정시대과_전시_대과
805,1740년_정시대과_전시_대과
